Brand,Description,Extra Features,Price
Lenovo IdeaPad,"Slim 3 15ARP10 Ryzen 5 7535HS 16GB RAM 15.3"" WUXGA Laptop","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.3, Military Grade","80,000"
Lenovo IdeaPad,"Slim 3 15ARP10 Ryzen 5 7535HS 15.3"" WUXGA Laptop","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.3, Military Grade","71,000"
Lenovo IdeaPad,"Slim 3 15ARP10 Ryzen 5 7535HS 15.3"" WUXGA Laptop With Backlit Keyboard","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.3, Military Grade","73,000"
Lenovo IdeaPad,"Slim 3 15ARP10 Ryzen 5 7535HS 16GB RAM 15.3"" WUXGA Laptop Cosmic Blue With Backlit Keyboard","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.3, Military Grade",Out Of Stock
Lenovo IdeaPad,"Slim 3 15ARP10 Ryzen 5 7535HS 15.3"" WUXGA Laptop Cosmic Blue With Backlit Keyboard","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.3, Military Grade","73,000"
Lenovo IdeaPad,"Slim 3 15ARP10 Ryzen 5 7535HS 15.3"" WUXGA 16GB RAM Laptop Cosmic Blue","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.3, Military Grade","80,000"
Lenovo IdeaPad,"Slim 3 15ARP10 Ryzen 5 7535HS 15.3"" WUXGA Laptop Cosmic Blue","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.3, Military Grade","71,000"
Asus VivoBook,"15 X1504VA Core 5 120U 16GB RAM 15.6"" FHD Laptop","Chiclet Keyboard, Privacy Shutter, SonicMaster","81,500"
Asus VivoBook,"15 X1504VA Core 5 120U 15.6"" FHD Laptop","Chiclet Keyboard, Privacy Shutter, SonicMaster","80,000"
MSI Modern,"15 F1MG Core 5 120U AI Optimized 15.6"" FHD Laptop Platinum Gray","Backlit Keyboard, Webcam Shutter, Type-C, Wi-Fi 6E","79,400"
MSI Modern,"15 F1MG Core 5 120U AI Optimized 15.6"" FHD Laptop Urban Silver","Backlit Keyboard, Webcam Shutter, Type-C, Wi-Fi 6E","79,400"
Lenovo IdeaPad,"Slim 3 14IRH10 Core i5 13th Gen 14"" WUXGA Laptop With FreeDOS","Privacy Shutter, Type-C, FreeDOS","83,500"
